sequence_number,type,description,away_score,home_score,period,clock,scoring_play,team_id,timestamp_utc
266,Jumper MISSED by St. Scholastica's Davion Butler,Jumper MISSED by St. Scholastica's Davion Butler,20,53,2,19:13,False,1679,2025-11-22T01:23:34.214488
267,Defensive rebound by North Dakota St.'s Andy Stefonowicz,Defensive rebound by North Dakota St.'s Andy Stefonowicz,20,53,2,19:10,False,1641,2025-11-22T01:23:34.214491
268,Layup by North Dakota St.'s Noah Feddersen,Layup by North Dakota St.'s Noah Feddersen,20,55,2,19:06,False,1641,2025-11-22T01:23:34.214494
269,Assist by North Dakota St.'s Andy Stefonowicz,Assist by North Dakota St.'s Andy Stefonowicz,20,55,2,19:06,False,1641,2025-11-22T01:23:34.214497
270,Personal Foul on North Dakota St.'s Andy Stefonowicz (Aaron Keykal draws the foul),Personal Foul on North Dakota St.'s Andy Stefonowicz (Aaron Keykal draws the foul),20,55,2,18:53,False,1641,2025-11-22T01:23:34.214500
271,Free Throw MISSED  by St. Scholastica's Aaron Keykal,Free Throw MISSED  by St. Scholastica's Aaron Keykal,20,55,2,18:53,False,1679,2025-11-22T01:23:34.214503
272,St. Scholastica gets a rebound from a dead ball.,St. Scholastica gets a rebound from a dead ball.,20,55,2,18:53,False,1679,2025-11-22T01:23:34.214507
273,Free Throw  by St. Scholastica's Aaron Keykal,Free Throw  by St. Scholastica's Aaron Keykal,21,55,2,18:53,False,1679,2025-11-22T01:23:34.214510
274,Slam Dunk by North Dakota St.'s Markhi Strickland,Slam Dunk by North Dakota St.'s Markhi Strickland,21,57,2,18:39,True,1641,2025-11-22T01:23:34.214512
275,Assist by North Dakota St.'s Andy Stefonowicz,Assist by North Dakota St.'s Andy Stefonowicz,21,57,2,18:39,False,1641,2025-11-22T01:23:34.214515
276,Jumper MISSED by St. Scholastica's Ben Raymond,Jumper MISSED by St. Scholastica's Ben Raymond,21,57,2,18:26,False,1679,2025-11-22T01:23:34.214518
277,Defensive rebound by North Dakota St.'s North Dakota St.,Defensive rebound by North Dakota St.'s North Dakota St.,21,57,2,18:24,False,1641,2025-11-22T01:23:34.214521
278,Subbing out for St. Scholastica-Ben Raymond,Subbing out for St. Scholastica-Ben Raymond,21,57,2,18:24,False,1679,2025-11-22T01:23:34.214524
279,Subbing in for St. Scholastica-Nebiyu Teklemariam,Subbing in for St. Scholastica-Nebiyu Teklemariam,21,57,2,18:24,False,1679,2025-11-22T01:23:34.214527
280,Layup by North Dakota St.'s Markhi Strickland,Layup by North Dakota St.'s Markhi Strickland,21,59,2,18:13,False,1641,2025-11-22T01:23:34.214530
281,Assist by North Dakota St.'s Andy Stefonowicz,Assist by North Dakota St.'s Andy Stefonowicz,21,59,2,18:13,False,1641,2025-11-22T01:23:34.214532
282,Turnover by St. Scholastica 's Koy Nelson,Turnover by St. Scholastica 's Koy Nelson,21,59,2,17:55,False,1679,2025-11-22T01:23:34.214535
283,Jumper by North Dakota St.'s Damari Wheeler-Thomas,Jumper by North Dakota St.'s Damari Wheeler-Thomas,21,62,2,17:45,False,1641,2025-11-22T01:23:34.214538
284,Assist by North Dakota St.'s Andy Stefonowicz,Assist by North Dakota St.'s Andy Stefonowicz,21,62,2,17:45,False,1641,2025-11-22T01:23:34.214541
285,Layup MISSED by St. Scholastica's Nebiyu Teklemariam,Layup MISSED by St. Scholastica's Nebiyu Teklemariam,21,62,2,17:16,False,1679,2025-11-22T01:23:34.214543
286,Defensive rebound by North Dakota St.'s Noah Feddersen,Defensive rebound by North Dakota St.'s Noah Feddersen,21,62,2,17:13,False,1641,2025-11-22T01:23:34.214546
287,2 Pointer MISSED by North Dakota St.'s Andy Stefonowicz,2 Pointer MISSED by North Dakota St.'s Andy Stefonowicz,21,62,2,17:08,False,1641,2025-11-22T01:23:34.214549
288,Defensive rebound by St. Scholastica's St. Scholastica,Defensive rebound by St. Scholastica's St. Scholastica,21,62,2,17:07,False,1679,2025-11-22T01:23:34.214552
289,Subbing out for North Dakota St.-Noah Feddersen,Subbing out for North Dakota St.-Noah Feddersen,21,62,2,17:07,False,1641,2025-11-22T01:23:34.214555
290,Subbing in for North Dakota St.-Treyson Anderson,Subbing in for North Dakota St.-Treyson Anderson,21,62,2,17:07,False,1641,2025-11-22T01:23:34.214558
291,Subbing out for St. Scholastica-Koy Nelson,Subbing out for St. Scholastica-Koy Nelson,21,62,2,17:07,False,1679,2025-11-22T01:23:34.214560
292,Subbing in for St. Scholastica-Drelyn Jones,Subbing in for St. Scholastica-Drelyn Jones,21,62,2,17:07,False,1679,2025-11-22T01:23:34.214563
293,Turnover by St. Scholastica 's Davion Butler,Turnover by St. Scholastica 's Davion Butler,21,62,2,16:57,False,1679,2025-11-22T01:23:34.214566
294,Steal by North Dakota St.'s Andy Stefonowicz,Steal by North Dakota St.'s Andy Stefonowicz,21,62,2,16:57,False,1641,2025-11-22T01:23:34.214568
295,Jumper MISSED by North Dakota St.'s Treyson Anderson,Jumper MISSED by North Dakota St.'s Treyson Anderson,21,62,2,16:43,False,1641,2025-11-22T01:23:34.214571
296,Defensive rebound by St. Scholastica's Drelyn Jones,Defensive rebound by St. Scholastica's Drelyn Jones,21,62,2,16:39,False,1679,2025-11-22T01:23:34.214574
297,Personal Foul on North Dakota St.'s Markhi Strickland (Aaron Keykal draws the foul),Personal Foul on North Dakota St.'s Markhi Strickland (Aaron Keykal draws the foul),21,62,2,16:28,False,1641,2025-11-22T01:23:34.214577
298,2 Pointer MISSED by St. Scholastica's Tanner Thomson,2 Pointer MISSED by St. Scholastica's Tanner Thomson,21,62,2,16:12,False,1679,2025-11-22T01:23:34.214580
299,Defensive rebound by North Dakota St.'s Andy Stefonowicz,Defensive rebound by North Dakota St.'s Andy Stefonowicz,21,62,2,16:09,False,1641,2025-11-22T01:23:34.214582
300,Jumper MISSED by North Dakota St.'s Treyson Anderson,Jumper MISSED by North Dakota St.'s Treyson Anderson,21,62,2,16:02,False,1641,2025-11-22T01:23:34.214585
301,Offensive rebound by North Dakota St.'s Treyson Anderson,Offensive rebound by North Dakota St.'s Treyson Anderson,21,62,2,15:56,False,1641,2025-11-22T01:23:34.214588
302,2 Pointer by North Dakota St.'s Treyson Anderson,2 Pointer by North Dakota St.'s Treyson Anderson,21,64,2,15:56,False,1641,2025-11-22T01:23:34.214590
303,Jumper MISSED by St. Scholastica's Nebiyu Teklemariam,Jumper MISSED by St. Scholastica's Nebiyu Teklemariam,21,64,2,15:41,False,1679,2025-11-22T01:23:34.214593
304,Offensive rebound by St. Scholastica's Aaron Keykal,Offensive rebound by St. Scholastica's Aaron Keykal,21,64,2,15:37,False,1679,2025-11-22T01:23:34.214596
305,Personal Foul on North Dakota St.'s Damari Wheeler-Thomas (Aaron Keykal draws the foul),Personal Foul on North Dakota St.'s Damari Wheeler-Thomas (Aaron Keykal draws the foul),21,64,2,15:37,False,1641,2025-11-22T01:23:34.214599
306,Commercial time out.,Commercial time out.,21,64,2,15:37,False,0,2025-11-22T01:23:34.214602
307,Subbing out for North Dakota St.-Trevian Carson,Subbing out for North Dakota St.-Trevian Carson,21,64,2,15:37,False,1641,2025-11-22T01:23:34.214605
308,Subbing out for North Dakota St.-Damari Wheeler-Thomas,Subbing out for North Dakota St.-Damari Wheeler-Thomas,21,64,2,15:37,False,1641,2025-11-22T01:23:34.214607
